duration,num_subscribers,influencer,dow,views,view_rate,has_tags,prod_focus,reach,media_type,post_type,influencer_type,FTC_Converted,In_Person_Converted,Giveaway_Converted,Reoccuring_Converted,ViewRate_Binary,id
222,28384,EVA'S TOY PLANET,Tuesday,4165,15.19,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,374
579,28384,EVA'S TOY PLANET,Thursday,23405,85.37,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,375
114,28384,EVA'S TOY PLANET,Friday,70408,256.8,0,2,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,376
807,28384,EVA'S TOY PLANET,Wednesday,17597,64.18,0,2,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,377
947,28384,EVA'S TOY PLANET,Saturday,2140,7.81,0,1,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Kid Toy,0,0,0,0,0,378
901,1692733,Fizzy Toy Show,Tuesday,32704,1.96,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,379
876,1692733,Fizzy Toy Show,Wednesday,367907,22.09,0,2,Large Scale (100K-500K),Likely Organic,Unboxing,Storyteller,0,0,0,0,1,380
859,1692733,Fizzy Toy Show,Monday,38807,2.33,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Storyteller,0,0,0,0,0,381
867,1692733,Fizzy Toy Show,Monday,501035,30.08,0,1,Large Scale (100K-500K),Likely Organic,Hacks/Insider Content,Storyteller,0,0,0,0,1,382
1027,1692733,Fizzy Toy Show,Sunday,381909,22.93,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,383
883,1692733,Fizzy Toy Show,Wednesday,46834,2.81,0,1,Large Scale (100K-500K),Likely Organic,Hacks/Insider Content,Storyteller,0,0,0,0,0,384
0,0,Fizzy Toy Show,Wednesday,0,0,0,1,Large Scale (100K-500K),Likely Organic,Hacks/Insider Content,Storyteller,0,0,0,0,0,385
0,0,Fizzy Toy Show,Sunday,0,0,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Storyteller,0,0,0,0,0,386
0,0,Fizzy Toy Show,Monday,0,0,0,1,Large Scale (100K-500K),Likely Organic,Hacks/Insider Content,Storyteller,0,0,0,0,0,387
0,0,Fizzy Toy Show,Wednesday,0,0,0,2,Large Scale (100K-500K),Likely Organic,Unboxing,Storyteller,0,0,0,0,0,388
0,0,Fizzy Toy Show,Wednesday,0,0,0,1,Large Scale (100K-500K),Likely Organic,Hacks/Insider Content,Storyteller,0,0,0,0,0,389
0,0,Fizzy Toy Show,Sunday,0,0,0,1,Large Scale (100K-500K),Likely Organic,Challenge,Storyteller,0,0,0,0,0,390
0,0,Fizzy Toy Show,Thursday,0,0,0,2,Large Scale (100K-500K),Likely Organic,Unboxing,Storyteller,0,0,0,0,0,391
634,59977,Fun and Crazy Kids,Wednesday,2322,3.95,0,1,Large Scale (100K-500K),Likely Organic,Challenge,Kid Toy,0,0,0,0,0,392
807,59977,Fun and Crazy Kids,Tuesday,87857,149.41,0,2,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Kid Toy,0,0,0,0,1,393
1093,59977,Fun and Crazy Kids,Saturday,872360,1483.58,0,1,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Kid Toy,0,0,0,0,1,394
1046,59977,Fun and Crazy Kids,Monday,15671,26.65,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,395
2139,59976,Fun and Crazy Kids,Monday,22449,38.18,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,396
951,922114,Fun Family Three Ava Isla and Olivia,Friday,90304,9.82,0,1,Mega (500K+),Likely Organic,Challenge,Family Toy,0,0,0,0,0,397
1000,922114,Fun Family Three Ava Isla and Olivia,Thursday,31339,3.41,0,1,Mega (500K+),Likely Organic,Challenge,Family Toy,0,0,0,0,0,398
458,357113,Fun Kid Videos,Tuesday,3660,1.07,0,1,Large Scale (100K-500K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,0,0,399
633,154448,FunTV,Tuesday,22848,16.08,0,1,Large Scale (100K-500K),Likely Organic,Challenge,Kid Toy,0,0,0,0,1,400
621,154448,FunTV,Saturday,98651,69.43,0,2,Large Scale (100K-500K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,401
603,154448,FunTV,Saturday,47578,33.49,0,1,Large Scale (100K-500K),Likely Organic,Retailer Visit,Kid Toy,0,0,0,0,1,402
604,154448,FunTV,Wednesday,458960,323.05,0,1,Large Scale (100K-500K),Likely Organic,Skit,Kid Toy,0,0,0,0,1,403
1336,4231293,Genie,Tuesday,80808,1.96,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,404
1231,4231293,Genie,Tuesday,42164,1.02,0,2,Mega (500K+),Likely Prodct Was Sent,Unboxing,Toy Reviewer,0,0,0,0,0,405
1218,4231293,Genie,Sunday,57900,1.4,0,2,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,406
1638,4231293,Genie,Sunday,153151,3.71,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,407
1318,4231293,Genie,Friday,92389,2.24,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,408
1587,4231293,Genie,Tuesday,148930,3.61,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,409
1519,4231293,Genie,Saturday,64752,1.57,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,410
1964,4231292,Genie,Saturday,100390,2.43,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,411
1838,4231292,Genie,Saturday,1098838,26.61,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,412
1091,4231292,Genie,Wednesday,59023,1.43,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,413
1641,4231292,Genie,Sunday,200941,4.87,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,414
1109,4231293,Genie,Wednesday,51826,1.25,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,415
1112,4231293,Genie,Sunday,223201,5.4,0,2,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,416
837,4231293,Genie,Saturday,168098,4.07,0,2,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,417
1381,4231294,Genie,Friday,260614,6.31,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,418
1160,4231294,Genie,Monday,114272,2.77,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,419
1980,4231294,Genie,Saturday,1653500,40.04,0,1,Mega (500K+),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,420
1515,4231294,Genie,Thursday,58256,1.41,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,421
1166,4231294,Genie,Thursday,293559,7.11,0,2,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,422
1405,4231294,Genie,Tuesday,153817,3.72,0,1,Mega (500K+),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,0,423
1403,4231296,Genie,Saturday,89140,2.16,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,424
1567,4231296,Genie,Thursday,736335,17.83,0,2,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,425
1190,4231296,Genie,Wednesday,176917,4.28,0,1,Mega (500K+),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,0,426
1497,4231296,Genie,Sunday,298677,7.23,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,427
1046,4231296,Genie,Thursday,179339,4.34,0,1,Mega (500K+),Likely Organic,Challenge,Toy Reviewer,0,0,0,0,0,428
954,4231296,Genie,Wednesday,96768,2.34,0,1,Mega (500K+),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,0,429
1530,4231296,Genie,Wednesday,171526,4.15,0,1,Mega (500K+),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,0,430
1924,4231296,Genie,Monday,105843,2.56,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,431
1353,4231296,Genie,Friday,539906,13.07,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,432
1513,4231296,Genie,Saturday,73963,1.79,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,433
1470,4231296,Genie,Saturday,92494,2.24,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,434
615,4231296,Genie,Wednesday,91339,2.21,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,435
933,4231296,Genie,Wednesday,783873,18.98,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,1,436
1313,4231296,Genie,Saturday,419496,10.16,0,2,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,437
1689,4231297,Genie,Friday,287045,6.95,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,438
1351,4231297,Genie,Wednesday,53334,1.29,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,439
1118,4231297,Genie,Tuesday,321534,7.79,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,440
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,441
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,442
0,0,Genie,Sunday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,443
0,0,Genie,Sunday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,444
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,445
0,0,Genie,Thursday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,446
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,447
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,448
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,449
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,450
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,451
0,0,Genie,Thursday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,452
0,0,Genie,Saturday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,453
0,0,Genie,Monday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,454
0,0,Genie,Monday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,455
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,456
0,0,Genie,Friday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,457
0,0,Genie,Sunday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,458
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,459
0,0,Genie,Monday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,460
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,461
0,0,Genie,Thursday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,462
0,0,Genie,Sunday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,463
0,0,Genie,Sunday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,464
0,0,Genie,Sunday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,465
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,466
0,0,Genie,Friday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,467
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,468
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,469
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,470
0,0,Genie,Saturday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,471
0,0,Genie,Monday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,472
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,473
0,0,Genie,Wednesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,474
0,0,Genie,Friday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,475
0,0,Genie,Monday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,476
0,0,Genie,Monday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,477
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,478
0,0,Genie,Sunday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,479
0,0,Genie,Tuesday,0,0,0,1,Mega (500K+),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,480
1009,13394,GGz Toy Squad,Sunday,57380,489.55,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,481
2055,13394,GGz Toy Squad,Sunday,291675,2488.69,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,482
1386,13394,GGz Toy Squad,Monday,4222,36.03,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,483
1712,13394,GGz Toy Squad,Saturday,243226,2075.48,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,484
1186,13394,GGz Toy Squad,Monday,121299,1035.06,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,485
672,13394,GGz Toy Squad,Thursday,5108,43.59,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,486
1799,13394,GGz Toy Squad,Sunday,81121,692.22,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,1,0,1,487
1025,13394,GGz Toy Squad,Saturday,11943,101.91,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,1,0,1,488
311,13394,GGz Toy Squad,Saturday,4585,39.12,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,489
1134,13394,GGz Toy Squad,Wednesday,65635,560.07,0,1,Mid Scale (10K-100K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,490
2582,749046,Gracie Hunter,Sunday,8391,1.12,0,1,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,491
1595,749046,Gracie Hunter,Friday,17759,2.37,0,1,Mega (500K+),100% Paid,Unboxing,Toy Reviewer,0,0,0,0,0,492
971,749046,Gracie Hunter,Monday,31904,4.26,0,1,Mega (500K+),100% Paid,Retailer Visit,Toy Reviewer,0,0,0,0,0,493
1173,749046,Gracie Hunter,Wednesday,29525,3.94,0,2,Mega (500K+),Likely Prodct Was Sent,Unboxing,Toy Reviewer,0,0,0,0,0,494
1204,40887,GreatBigToyBox,Saturday,17025,42.43,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,495
1273,40887,GreatBigToyBox,Friday,72846,181.55,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,496
285,1177850,HiHo Kids,Thursday,107350,9.53,0,1,Mega (500K+),Likely Prodct Was Sent,Unboxing,Kid Toy,0,0,0,0,0,497
395,1177850,HiHo Kids,Friday,100831,8.95,0,1,Mega (500K+),Likely Prodct Was Sent,Unboxing,Kid Toy,0,0,0,0,0,498
1361,3289,IngoldsRealityTV,Sunday,1586,52,0,2,Micro (<10K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,499
817,3289,IngoldsRealityTV,Saturday,661,21.67,0,1,Micro (<10K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,500
1045,3289,IngoldsRealityTV,Tuesday,344,11.28,0,2,Micro (<10K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,501
67,3289,IngoldsRealityTV,Thursday,940,30.82,0,1,Micro (<10K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,502
499,3289,IngoldsRealityTV,Monday,5519,180.95,0,1,Micro (<10K),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,1,503
1184,3289,IngoldsRealityTV,Saturday,1234,40.46,0,1,Micro (<10K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,504
61,3289,IngoldsRealityTV,Wednesday,92299,3026.2,0,2,Micro (<10K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,505
986,3289,IngoldsRealityTV,Friday,698,22.89,0,2,Micro (<10K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,506
616,3289,IngoldsRealityTV,Tuesday,19990,655.41,0,1,Micro (<10K),Likely Organic,DIY,Toy Reviewer,0,0,0,0,1,507
794,3289,IngoldsRealityTV,Wednesday,863,28.3,0,1,Micro (<10K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,508
149,3289,IngoldsRealityTV,Wednesday,518,16.99,0,1,Micro (<10K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,509
447,3289,IngoldsRealityTV,Saturday,1112,36.47,0,1,Micro (<10K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,510
251,3289,IngoldsRealityTV,Tuesday,110922,3637.98,0,1,Micro (<10K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,511
906,3289,IngoldsRealityTV,Saturday,525,17.22,0,1,Micro (<10K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,512
483,1945,Isabel Friends and Toys,Thursday,368,22,0,1,Micro (<10K),Likely Organic,Retailer Visit,Kid Toy,0,0,0,0,1,513
186,1945,Isabel Friends and Toys,Friday,107,6.4,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,0,0,514
782,1945,Isabel Friends and Toys,Tuesday,148,8.85,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,0,0,515
356,1945,Isabel Friends and Toys,Friday,107,6.4,0,1,Micro (<10K),Likely Organic,Retailer Visit,Kid Toy,0,0,0,0,0,516
1103,1945,Isabel Friends and Toys,Sunday,289,17.27,0,2,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,517
304,1945,Isabel Friends and Toys,Saturday,126,7.53,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,518
1054,1945,Isabel Friends and Toys,Sunday,83,4.96,0,1,Micro (<10K),Likely Organic,Challenge,Kid Toy,0,0,0,0,0,519
542,1945,Isabel Friends and Toys,Tuesday,214,12.79,0,1,Micro (<10K),Likely Organic,Retailer Visit,Kid Toy,0,0,0,0,0,520
439,1945,Isabel Friends and Toys,Thursday,102,6.1,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,521
875,1945,Isabel Friends and Toys,Friday,113,6.75,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,522
1500,1945,Isabel Friends and Toys,Saturday,98,5.86,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,523
1330,1945,Isabel Friends and Toys,Saturday,127,7.59,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,524
432,1945,Isabel Friends and Toys,Tuesday,315,18.83,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,525
434,1945,Isabel Friends and Toys,Friday,348,20.81,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,526
877,1945,Isabel Friends and Toys,Wednesday,246,14.71,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,527
562,1945,Isabel Friends and Toys,Tuesday,191,11.42,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,528
978,1945,Isabel Friends and Toys,Thursday,149,8.91,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,529
646,1945,Isabel Friends and Toys,Tuesday,200,11.96,0,1,Micro (<10K),Likely Organic,Hacks/Insider Content,Kid Toy,0,0,0,0,0,530
1263,0,Itsplaytime612,Saturday,4082,408200,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,531
435,0,Itsplaytime612,Saturday,4011,401100,0,1,Mega (500K+),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,532
0,0,Cookie Swirl,Friday,0,0,0,1,Micro (<10K),Likely Organic,Unboxing,Storyteller,0,0,0,0,0,533
0,0,Paul and Shannon,Saturday,0,0,0,1,Micro (<10K),Likely Organic,Unboxing,Storyteller,0,0,0,0,0,534
783,1299,Jenny Kearney,Tuesday,46,3.56,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,535
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,536
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,537
0,0,Jenny Kearney,Tuesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,538
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,539
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,540
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,541
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,542
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,543
0,0,Jenny Kearney,Tuesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,544
0,0,Jenny Kearney,Tuesday,0,0,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Mommy Blogger,0,0,0,0,0,545
0,0,Super S,Tuesday,0,0,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,546
0,0,Mellisa Tyler Swigart,Wednesday,0,0,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Family Toy,0,0,0,0,0,547
0,0,Jenny Kearney,Wednesday,0,0,0,1,Micro (<10K),Likely Paid,Unboxing,Mommy Blogger,0,0,0,0,0,548
0,0,Super S,Wednesday,0,0,0,1,Micro (<10K),Likely Organic,Hacks/Insider Content,Kid Toy,0,0,0,0,0,549
1180,1896,Jestina's Playhouse,Saturday,220,13.45,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,550
903,867347,Keith's Toy Box,Wednesday,10667,1.28,0,2,Mega (500K+),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,551
685,278817,Kids Play O'clock,Monday,822,0.29,0,1,Large Scale (100K-500K),Likely Prodct Was Sent,Unboxing,Family Toy,0,0,0,0,0,552
555,84291,Kids Toys and Joys,Friday,254387,307.45,0,2,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,553
395,84291,Kids Toys and Joys,Saturday,38467,46.49,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,554
409,84291,Kids Toys and Joys,Friday,8143,9.84,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,555
302,84291,Kids Toys and Joys,Saturday,10651,12.87,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,556
341,84291,Kids Toys and Joys,Saturday,3303,3.99,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,557
579,84291,Kids Toys and Joys,Friday,1029077,1243.81,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,558
450,84291,Kids Toys and Joys,Wednesday,3682,4.45,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,559
672,14028,KikiCatNovelties,Friday,7410,54.58,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,560
2048,14028,KikiCatNovelties,Monday,52471,386.47,0,2,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,561
1178,14028,KikiCatNovelties,Saturday,2872,21.15,0,1,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Toy Reviewer,0,0,0,0,1,562
1694,14028,KikiCatNovelties,Friday,6760,49.79,0,2,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,563
1198,14028,KikiCatNovelties,Saturday,6916,50.94,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,564
920,14028,KikiCatNovelties,Monday,5546,40.85,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,565
858,14028,KikiCatNovelties,Thursday,4935,36.35,0,1,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Toy Reviewer,0,0,0,0,1,566
